cycle,S,density
5660,0.008,3.836
5670,0.007,3.837
5680,0.007,3.838
5690,0.006,3.838
5700,0.006,3.839
5710,0.005,3.839
5720,0.007,3.841
5730,0.006,3.841
5740,0.007,3.842
5750,0.005,3.841
5760,0.007,3.843
5770,0.008,3.843
5780,0.007,3.844
5790,0.007,3.845
5800,0.006,3.845
5810,0.006,3.846
5820,0.006,3.847
5830,0.008,3.848
5840,0.008,3.849
5850,0.008,3.849
5860,0.008,3.849
5870,0.007,3.849
5880,0.008,3.850
5890,0.009,3.850
5900,0.009,3.850
5910,0.009,3.850
5920,0.009,3.851
5930,0.008,3.852
5940,0.009,3.852
5950,0.010,3.852
5960,0.009,3.853
5970,0.009,3.853
5980,0.010,3.854
5990,0.009,3.854
6000,0.009,3.855
6010,0.010,3.856
6020,0.011,3.858
6030,0.011,3.859
6040,0.010,3.859
6050,0.011,3.860
6060,0.010,3.860
6070,0.011,3.861
6080,0.010,3.861
6090,0.012,3.862
6100,0.011,3.862
6110,0.011,3.861
6120,0.011,3.861
6130,0.011,3.861
6140,0.011,3.862
6150,0.011,3.863
6160,0.010,3.863
6170,0.011,3.864
6180,0.009,3.864
6190,0.010,3.864
6200,0.010,3.865
6210,0.011,3.864
6220,0.012,3.864
6230,0.012,3.865
6240,0.012,3.865
6250,0.013,3.866
6260,0.011,3.866
6270,0.012,3.867
6280,0.013,3.867
6290,0.013,3.868
6300,0.012,3.868
6310,0.012,3.869
6320,0.013,3.869
6330,0.013,3.870
6340,0.013,3.871
6350,0.012,3.871
6360,0.011,3.871
6370,0.012,3.872
6380,0.012,3.873
6390,0.013,3.874
6400,0.012,3.875
6410,0.012,3.875
6420,0.012,3.876
6430,0.013,3.876
6440,0.014,3.876
6450,0.014,3.877
6460,0.013,3.877
6470,0.014,3.879
6480,0.014,3.879
6490,0.014,3.880
6500,0.015,3.880
6510,0.016,3.881
6520,0.015,3.881
6530,0.016,3.881
6540,0.017,3.881
6550,0.017,3.881
6560,0.017,3.881
6570,0.017,3.881
6580,0.017,3.881
6590,0.017,3.882
6600,0.017,3.882
6610,0.017,3.883
6620,0.017,3.884
6630,0.018,3.884
6640,0.018,3.885
6650,0.019,3.885
6660,0.019,3.886
6670,0.019,3.886
6680,0.021,3.887
6690,0.020,3.887
6700,0.021,3.889
6710,0.021,3.890
6720,0.020,3.891
6730,0.020,3.891
6740,0.021,3.891
6750,0.020,3.891
6760,0.020,3.891
6770,0.019,3.892
6780,0.019,3.892
6790,0.018,3.892
6800,0.018,3.893
6810,0.018,3.893
6820,0.019,3.893
6830,0.018,3.894
6840,0.019,3.894
6850,0.018,3.895
6860,0.018,3.896
6870,0.019,3.896
